text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
.,,,,{},UNKNOWN,0.0,UNKNOWN
"Conocer la situación del entorno , mercado al cual se va a dirigir y la visión personal y empresarial.",Clarity of Business and Self-Understanding,['Clarity of Business and Self-Understanding'],1.0,"{'Mindset and Motivation': 0.01619333915490036, 'Clarity of Business and Self-Understanding': 0.965390702088674, 'Practical Preparation and Readiness': 0.036961029594143234, 'Technology and Platform Requirements': 0.014782219038655361, 'Business Information and Supporting Documents': 0.3522692608336608, 'No Preparation Needed': 8.834250669072692e-05, 'Time Availability and Commitment': 0.20913958890984455, 'Product Presentation and Portfolio Materials': 0.0973989199846983, 'Contact Details and Communication Channels': 0.04912884160876274, 'Active Listening and Openness to Feedback': 0.3152617737650871, 'Goal Clarity and Direction Setting': 0.3497657688955466, 'Understanding Mentor Background': 0.0005355113632200906, 'Social Media and Digital Presence': 0.0413337959907949}",,,
"الاسم 
العمر 
المجال الذى يعمل به او يفكر ان يفتح نشاط ريادى به 
الخلفية التعليمية 
معلومات حول المشروع الريادى الخاص به و هل بدء خطوات فعلية فيه إم مازال فى مرحلة الفكرة 
ابرز الأسئلة التى يحتاج إلى إجابات عنها",UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.42958851096530754, 'Clarity of Business and Self-Understanding': 0.2553096100067099, 'Practical Preparation and Readiness': 0.007449915593800445, 'Technology and Platform Requirements': 0.0058141826108718915, 'Business Information and Supporting Documents': 0.08785126715277632, 'No Preparation Needed': 0.00011290060986842339, 'Time Availability and Commitment': 0.13566272581617037, 'Product Presentation and Portfolio Materials': 0.04145526187494397, 'Contact Details and Communication Channels': 0.17938438740869364, 'Active Listening and Openness to Feedback': 0.12272765782351296, 'Goal Clarity and Direction Setting': 0.05705732976396879, 'Understanding Mentor Background': 0.00577133862922589, 'Social Media and Digital Presence': 0.06913948602353533}",,,
Memiliki pengalaman dan bekal ilmu yang baik agar bisa mengedukasi mentee dengan baik dan maksimal,UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.3162947278469801, 'Clarity of Business and Self-Understanding': 0.5318406795461973, 'Practical Preparation and Readiness': 0.45490575581789017, 'Technology and Platform Requirements': 0.38922115974128246, 'Business Information and Supporting Documents': 0.4384670555591583, 'No Preparation Needed': 0.0001295295029801006, 'Time Availability and Commitment': 0.549169252316157, 'Product Presentation and Portfolio Materials': 0.4711397687594096, 'Contact Details and Communication Channels': 0.34918874502182007, 'Active Listening and Openness to Feedback': 0.49959485481182736, 'Goal Clarity and Direction Setting': 0.4516054665048917, 'Understanding Mentor Background': 0.05917711555957794, 'Social Media and Digital Presence': 0.5115009248256683}",,,
contactarme.,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Time Availability and Commitment', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.6636791924635569, 'Clarity of Business and Self-Understanding': 0.7208912173906962, 'Practical Preparation and Readiness': 0.7924507061640421, 'Technology and Platform Requirements': 0.6990375220775604, 'Business Information and Supporting Documents': 0.6913079619407654, 'No Preparation Needed': 0.6883741567532221, 'Time Availability and Commitment': 0.7630753914515177, 'Product Presentation and Portfolio Materials': 0.7291718125343323, 'Contact Details and Communication Channels': 0.9180833299954733, 'Active Listening and Openness to Feedback': 0.9078750610351562, 'Goal Clarity and Direction Setting': 0.9152006506919861, 'Understanding Mentor Background': 0.725859264532725, 'Social Media and Digital Presence': 0.733111043771108}",,,
c,,,,{},UNKNOWN,0.0,UNKNOWN
Tener buena predisposición y ser puntual.,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Time Availability and Commitment']",2.0,"{'Mindset and Motivation': 0.5988819301128387, 'Clarity of Business and Self-Understanding': 0.07867210234204929, 'Practical Preparation and Readiness': 0.9022088050842285, 'Technology and Platform Requirements': 0.2462644058590134, 'Business Information and Supporting Documents': 0.33747107287247974, 'No Preparation Needed': 0.00015757873916300014, 'Time Availability and Commitment': 0.8507066766421, 'Product Presentation and Portfolio Materials': 0.45964450140794116, 'Contact Details and Communication Channels': 0.5953594048817953, 'Active Listening and Openness to Feedback': 0.47963044171531993, 'Goal Clarity and Direction Setting': 0.5193544775247574, 'Understanding Mentor Background': 0.40703778465588886, 'Social Media and Digital Presence': 0.3567153165737788}",,,
التواصل معة فقط,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting', 'No Preparation Needed']",3.0,"{'Mindset and Motivation': 0.43170614788929623, 'Clarity of Business and Self-Understanding': 0.2476672132809957, 'Practical Preparation and Readiness': 0.4613599975903829, 'Technology and Platform Requirements': 0.3464173814281821, 'Business Information and Supporting Documents': 0.2083861380815506, 'No Preparation Needed': 0.6367590228716532, 'Time Availability and Commitment': 0.5200057029724121, 'Product Presentation and Portfolio Materials': 0.37410151958465576, 'Contact Details and Communication Channels': 0.5194513102372488, 'Active Listening and Openness to Feedback': 0.8371649781862894, 'Goal Clarity and Direction Setting': 0.799194316069285, 'Understanding Mentor Background': 0.45149603486061096, 'Social Media and Digital Presence': 0.40316273272037506}",,,
Im not a Mentor,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting', 'Understanding Mentor Background']",3.0,"{'Mindset and Motivation': 0.7989609440167745, 'Clarity of Business and Self-Understanding': 0.43479347229003906, 'Practical Preparation and Readiness': 0.3631371036171913, 'Technology and Platform Requirements': 0.32161131004492444, 'Business Information and Supporting Documents': 0.3488905628522237, 'No Preparation Needed': 0.5510166188081106, 'Time Availability and Commitment': 0.748006006081899, 'Product Presentation and Portfolio Materials': 0.22017393012841543, 'Contact Details and Communication Channels': 0.546424408753713, 'Active Listening and Openness to Feedback': 0.48433566838502884, 'Goal Clarity and Direction Setting': 0.8624104062716166, 'Understanding Mentor Background': 0.9257369041442871, 'Social Media and Digital Presence': 0.3581578694283962}",,,
.....,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Technology and Platform Requirements']",3.0,"{'Mindset and Motivation': 0.8946855465571085, 'Clarity of Business and Self-Understanding': 0.6901688973108927, 'Practical Preparation and Readiness': 0.8798196315765381, 'Technology and Platform Requirements': 0.771280566851298, 'Business Information and Supporting Documents': 0.8010385831197103, 'No Preparation Needed': 0.7803577383359274, 'Time Availability and Commitment': 0.8188910484313965, 'Product Presentation and Portfolio Materials': 0.7853794097900391, 'Contact Details and Communication Channels': 0.8780386050542196, 'Active Listening and Openness to Feedback': 0.919118324915568, 'Goal Clarity and Direction Setting': 0.938264528910319, 'Understanding Mentor Background': 0.7403124570846558, 'Social Media and Digital Presence': 0.7564656933148702}",,,
Let's talk!,Time Availability and Commitment,"['Time Availability and Commitment', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.7104333539803823, 'Clarity of Business and Self-Understanding': 0.6549689372380575, 'Practical Preparation and Readiness': 0.7170938750108083, 'Technology and Platform Requirements': 0.5798281033833822, 'Business Information and Supporting Documents': 0.6352535486221313, 'No Preparation Needed': 0.5250275606910387, 'Time Availability and Commitment': 0.7582395474116007, 'Product Presentation and Portfolio Materials': 0.6910408834616343, 'Contact Details and Communication Channels': 0.8580504655838013, 'Active Listening and Openness to Feedback': 0.9716996351877848, 'Goal Clarity and Direction Setting': 0.8929790457089742, 'Understanding Mentor Background': 0.5503774682680765, 'Social Media and Digital Presence': 0.7908661365509033}",,,
"Entrepreneurs should come prepared with data on current performance metrics, clear business goals, and an understanding of their biggest challenges. This foundation allows us to create impactful, results-oriented strategies.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.11416957636053364, 'Clarity of Business and Self-Understanding': 0.9778473973274231, 'Practical Preparation and Readiness': 0.6189224372307459, 'Technology and Platform Requirements': 0.2246522599210342, 'Business Information and Supporting Documents': 0.8549237052599589, 'No Preparation Needed': 6.386302993632853e-05, 'Time Availability and Commitment': 0.3298389309396346, 'Product Presentation and Portfolio Materials': 0.422613504032294, 'Contact Details and Communication Channels': 0.4892917623122533, 'Active Listening and Openness to Feedback': 0.45401852453748387, 'Goal Clarity and Direction Setting': 0.660689095656077, 'Understanding Mentor Background': 0.0031182609285072735, 'Social Media and Digital Presence': 0.6221890076994896}",,,
"Lápiz y papel para realizar anotaciones, en caso que lo necesite; asi como tambien que tenga una lista de los posibles temas y preguntas que pueda tener acerca de su emprendimiento.",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Active Listening and Openness to Feedback']",2.0,"{'Mindset and Motivation': 0.19342836586292833, 'Clarity of Business and Self-Understanding': 0.4497876645376285, 'Practical Preparation and Readiness': 0.7682110369205475, 'Technology and Platform Requirements': 0.18500567136410004, 'Business Information and Supporting Documents': 0.3496761793891589, 'No Preparation Needed': 0.0001968797223526053, 'Time Availability and Commitment': 0.05795860725144545, 'Product Presentation and Portfolio Materials': 0.06495174307686587, 'Contact Details and Communication Channels': 0.04161454263764123, 'Active Listening and Openness to Feedback': 0.7083556453386942, 'Goal Clarity and Direction Setting': 0.22991393444438776, 'Understanding Mentor Background': 0.0012151226546848193, 'Social Media and Digital Presence': 0.15825464002167186}",,,
Just a basic knowledge on the domain,UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.2461350125571092, 'Clarity of Business and Self-Understanding': 0.01937059941701591, 'Practical Preparation and Readiness': 0.03916344329869995, 'Technology and Platform Requirements': 0.18584407540038228, 'Business Information and Supporting Documents': 0.021103770171369735, 'No Preparation Needed': 0.29874002436796826, 'Time Availability and Commitment': 0.5222758948802948, 'Product Presentation and Portfolio Materials': 0.2563481826024751, 'Contact Details and Communication Channels': 0.3532885977377494, 'Active Listening and Openness to Feedback': 0.3151446444292863, 'Goal Clarity and Direction Setting': 0.14711828902363777, 'Understanding Mentor Background': 0.35493603348731995, 'Social Media and Digital Presence': 0.4757776816065113}",,,
Write down what is on your mind and then we proceed to work through your list.,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.30409638832012814, 'Clarity of Business and Self-Understanding': 0.1549607217311859, 'Practical Preparation and Readiness': 0.4142495443423589, 'Technology and Platform Requirements': 0.30979432445019484, 'Business Information and Supporting Documents': 0.2287136676410834, 'No Preparation Needed': 0.011251773161347955, 'Time Availability and Commitment': 0.1483315664033095, 'Product Presentation and Portfolio Materials': 0.3383047680060069, 'Contact Details and Communication Channels': 0.25266459087530774, 'Active Listening and Openness to Feedback': 0.6276899576187134, 'Goal Clarity and Direction Setting': 0.6571562886238098, 'Understanding Mentor Background': 0.030401038626829784, 'Social Media and Digital Presence': 0.24047032743692398}",,,
Tener la idea base del negocio,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.21083672414533794, 'Clarity of Business and Self-Understanding': 0.7053383986155192, 'Practical Preparation and Readiness': 0.08215395237008731, 'Technology and Platform Requirements': 0.025996068492531776, 'Business Information and Supporting Documents': 0.39785778522491455, 'No Preparation Needed': 0.014708136208355427, 'Time Availability and Commitment': 0.4741334666808446, 'Product Presentation and Portfolio Materials': 0.36231111486752826, 'Contact Details and Communication Channels': 0.47578076521555585, 'Active Listening and Openness to Feedback': 0.7767441868782043, 'Goal Clarity and Direction Setting': 0.669391026099523, 'Understanding Mentor Background': 0.002407624328043312, 'Social Media and Digital Presence': 0.533717737843593}",,,
"Estar predispuesto Y sinceridad, si no esta de acuerdo con algo o no le gusta pueda expresarlo. La idea es ayudar desde un lado positivo.",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Mindset and Motivation', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.616580198208491, 'Clarity of Business and Self-Understanding': 0.31841568400462467, 'Practical Preparation and Readiness': 0.677822212378184, 'Technology and Platform Requirements': 0.6004567841688792, 'Business Information and Supporting Documents': 0.6063647866249084, 'No Preparation Needed': 0.0005606283472540478, 'Time Availability and Commitment': 0.6430470744768778, 'Product Presentation and Portfolio Materials': 0.5034773896137873, 'Contact Details and Communication Channels': 0.7026293774445852, 'Active Listening and Openness to Feedback': 0.9939479231834412, 'Goal Clarity and Direction Setting': 0.6450870434443156, 'Understanding Mentor Background': 0.5590096016724905, 'Social Media and Digital Presence': 0.5928834875424703}",,,
Tener claro su idea o modelo de negocio y los objetivos que busca cumplir con la mentoría,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.16952296377470097, 'Clarity of Business and Self-Understanding': 0.9242584109306335, 'Practical Preparation and Readiness': 0.10959349293261766, 'Technology and Platform Requirements': 0.014107556004698077, 'Business Information and Supporting Documents': 0.40257441624999046, 'No Preparation Needed': 0.000596872433864822, 'Time Availability and Commitment': 0.13336345056692758, 'Product Presentation and Portfolio Materials': 0.19665021573503813, 'Contact Details and Communication Channels': 0.08199232816696167, 'Active Listening and Openness to Feedback': 0.4302256802717845, 'Goal Clarity and Direction Setting': 0.9986089070638021, 'Understanding Mentor Background': 0.0012124108422237139, 'Social Media and Digital Presence': 0.1710667914400498}",,,
تحديد مجال عملة واهتمامة وتجميع اكبر قدر معلومات عنه,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.3191161535602684, 'Clarity of Business and Self-Understanding': 0.8948037425676981, 'Practical Preparation and Readiness': 0.5956898729006449, 'Technology and Platform Requirements': 0.19512157809610167, 'Business Information and Supporting Documents': 0.8125625848770142, 'No Preparation Needed': 0.00011952335141055907, 'Time Availability and Commitment': 0.1045142865429322, 'Product Presentation and Portfolio Materials': 0.3559359535574913, 'Contact Details and Communication Channels': 0.06024821040531, 'Active Listening and Openness to Feedback': 0.02198207378387451, 'Goal Clarity and Direction Setting': 0.7503502865632375, 'Understanding Mentor Background': 0.02380301997375985, 'Social Media and Digital Presence': 0.07306201476603746}",,,
Basic idea of what the entrepreneur is doing is cogent,UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.033771633092934884, 'Clarity of Business and Self-Understanding': 0.11663846764713526, 'Practical Preparation and Readiness': 0.059642573818564415, 'Technology and Platform Requirements': 0.018887145367140572, 'Business Information and Supporting Documents': 0.06097508563349644, 'No Preparation Needed': 0.3656520703807473, 'Time Availability and Commitment': 0.3341889629761378, 'Product Presentation and Portfolio Materials': 0.2731748738636573, 'Contact Details and Communication Channels': 0.23696002985040346, 'Active Listening and Openness to Feedback': 0.49882344404856366, 'Goal Clarity and Direction Setting': 0.14111337127784887, 'Understanding Mentor Background': 0.0018136021681129932, 'Social Media and Digital Presence': 0.22079915149758259}",,,
"1. Tener perfiles habilitados en las principales redes sociales. (Instagram, Facebook, Twitter)
2. Tener al menos entre 8 y 10 horas libres a la semana para hacer proyectos y pequeñas tareas que le serán asignadas para aprender y mejorar en el campo. 
3. Haber identificado el tipo de marcas, comercios o productos con los que le interesa trabajar.",Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Social Media and Digital Presence']",2.0,"{'Mindset and Motivation': 0.3514755740761757, 'Clarity of Business and Self-Understanding': 0.21550009648005167, 'Practical Preparation and Readiness': 0.2991607869043946, 'Technology and Platform Requirements': 0.5405044704675674, 'Business Information and Supporting Documents': 0.5360302527745565, 'No Preparation Needed': 0.0005063779511450169, 'Time Availability and Commitment': 0.4101948067545891, 'Product Presentation and Portfolio Materials': 0.4922413130601247, 'Contact Details and Communication Channels': 0.5613499283790588, 'Active Listening and Openness to Feedback': 0.5394682188828787, 'Goal Clarity and Direction Setting': 0.6224554578463236, 'Understanding Mentor Background': 0.05900534025082985, 'Social Media and Digital Presence': 0.6920199990272522}",,,
Membuat usaha.,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.8430635929107666, 'Clarity of Business and Self-Understanding': 0.738825261592865, 'Practical Preparation and Readiness': 0.7498218417167664, 'Technology and Platform Requirements': 0.6091013054052988, 'Business Information and Supporting Documents': 0.7297362883885702, 'No Preparation Needed': 0.0636555626988411, 'Time Availability and Commitment': 0.6366978685061137, 'Product Presentation and Portfolio Materials': 0.7260167400042216, 'Contact Details and Communication Channels': 0.7850578824679056, 'Active Listening and Openness to Feedback': 0.8407964706420898, 'Goal Clarity and Direction Setting': 0.8946101069450378, 'Understanding Mentor Background': 0.18879558045106629, 'Social Media and Digital Presence': 0.7487555046876272}",,,
"Same as my expectations, willingness and open minded",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting', 'Mindset and Motivation']",3.0,"{'Mindset and Motivation': 0.7283690571784973, 'Clarity of Business and Self-Understanding': 0.17726633449395499, 'Practical Preparation and Readiness': 0.6166902482509613, 'Technology and Platform Requirements': 0.12260146252810955, 'Business Information and Supporting Documents': 0.2098721917718649, 'No Preparation Needed': 0.4553888700902462, 'Time Availability and Commitment': 0.1909873609741529, 'Product Presentation and Portfolio Materials': 0.5415618717670441, 'Contact Details and Communication Channels': 0.5136658102273941, 'Active Listening and Openness to Feedback': 0.9029642740885416, 'Goal Clarity and Direction Setting': 0.7811598181724548, 'Understanding Mentor Background': 0.3079885393381119, 'Social Media and Digital Presence': 0.4140920067826907}",,,
Motivated individial who has already started business.,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.7849551836649576, 'Clarity of Business and Self-Understanding': 0.43544389804204303, 'Practical Preparation and Readiness': 0.37638869633277255, 'Technology and Platform Requirements': 0.19550307312359413, 'Business Information and Supporting Documents': 0.3382485806941986, 'No Preparation Needed': 0.052217074359456696, 'Time Availability and Commitment': 0.47263476252555847, 'Product Presentation and Portfolio Materials': 0.4821466455856959, 'Contact Details and Communication Channels': 0.7110854983329773, 'Active Listening and Openness to Feedback': 0.7157728970050812, 'Goal Clarity and Direction Setting': 0.639975349108378, 'Understanding Mentor Background': 0.036478201082597174, 'Social Media and Digital Presence': 0.6167446027199427}",,,
اعرفه بنفسى واسمعه وانصت إليه,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.5967301726341248, 'Clarity of Business and Self-Understanding': 0.7586497863133749, 'Practical Preparation and Readiness': 0.5874991863965988, 'Technology and Platform Requirements': 0.4932743789007266, 'Business Information and Supporting Documents': 0.576203778386116, 'No Preparation Needed': 0.3465495170870175, 'Time Availability and Commitment': 0.720017691453298, 'Product Presentation and Portfolio Materials': 0.6018767654895782, 'Contact Details and Communication Channels': 0.5631336371103922, 'Active Listening and Openness to Feedback': 0.9303169051806132, 'Goal Clarity and Direction Setting': 0.7052338620026907, 'Understanding Mentor Background': 0.48821161190668744, 'Social Media and Digital Presence': 0.6083945830663046}",,,
