text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
Leer bastante sobre negocios y ser humilde para aprender,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.47425777829873067, 'Clarity of Business and Self-Understanding': 0.8798455595970154, 'Practical Preparation and Readiness': 0.4354958087205887, 'Technology and Platform Requirements': 0.15588961790005365, 'Business Information and Supporting Documents': 0.7060143748919169, 'No Preparation Needed': 0.0005052674096077681, 'Time Availability and Commitment': 0.48084548612435657, 'Product Presentation and Portfolio Materials': 0.4922266850868861, 'Contact Details and Communication Channels': 0.6263057192166647, 'Active Listening and Openness to Feedback': 0.16935498205324015, 'Goal Clarity and Direction Setting': 0.47978515674670535, 'Understanding Mentor Background': 0.00640770816244185, 'Social Media and Digital Presence': 0.40246631639699143}",,,
Debe tener predisposición y querer superarse.,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.9308062791824341, 'Clarity of Business and Self-Understanding': 0.18878970046838126, 'Practical Preparation and Readiness': 0.8214878042538961, 'Technology and Platform Requirements': 0.41525834053754807, 'Business Information and Supporting Documents': 0.4739632805188497, 'No Preparation Needed': 0.00011158390649749587, 'Time Availability and Commitment': 0.35745030144850415, 'Product Presentation and Portfolio Materials': 0.5843891104062399, 'Contact Details and Communication Channels': 0.6951171060403188, 'Active Listening and Openness to Feedback': 0.6518900493780772, 'Goal Clarity and Direction Setting': 0.7154963413874308, 'Understanding Mentor Background': 0.3993799388408661, 'Social Media and Digital Presence': 0.6632096668084463}",,,
Study terrifically,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.8463925917943319, 'Clarity of Business and Self-Understanding': 0.7749314904212952, 'Practical Preparation and Readiness': 0.8976228634516398, 'Technology and Platform Requirements': 0.6424392362435659, 'Business Information and Supporting Documents': 0.8035004337628683, 'No Preparation Needed': 0.00031820001216450083, 'Time Availability and Commitment': 0.580716590086619, 'Product Presentation and Portfolio Materials': 0.7380881706873575, 'Contact Details and Communication Channels': 0.7321299910545349, 'Active Listening and Openness to Feedback': 0.7105797032515208, 'Goal Clarity and Direction Setting': 0.8340248664220175, 'Understanding Mentor Background': 0.5212798317273458, 'Social Media and Digital Presence': 0.7176591952641805}",,,
Aún no lo sé,Mindset and Motivation,"['Mindset and Motivation', 'Business Information and Supporting Documents', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.9664074182510376, 'Clarity of Business and Self-Understanding': 0.5962205976247787, 'Practical Preparation and Readiness': 0.4551790865759055, 'Technology and Platform Requirements': 0.6887743125359217, 'Business Information and Supporting Documents': 0.7797823548316956, 'No Preparation Needed': 0.25320510321762413, 'Time Availability and Commitment': 0.8897984027862549, 'Product Presentation and Portfolio Materials': 0.8159087598323822, 'Contact Details and Communication Channels': 0.7838102579116821, 'Active Listening and Openness to Feedback': 0.9204727212587992, 'Goal Clarity and Direction Setting': 0.9569100737571716, 'Understanding Mentor Background': 0.5906378552317619, 'Social Media and Digital Presence': 0.6781977464755377}",,,
"Have a list of the main concerns, and another one with ideas that could benefit the process.",UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.08059993068066736, 'Clarity of Business and Self-Understanding': 0.08793442510068417, 'Practical Preparation and Readiness': 0.32777557397882146, 'Technology and Platform Requirements': 0.19143843557685614, 'Business Information and Supporting Documents': 0.10243335614601771, 'No Preparation Needed': 0.0005533762887353078, 'Time Availability and Commitment': 0.3449244598547618, 'Product Presentation and Portfolio Materials': 0.12473470003654559, 'Contact Details and Communication Channels': 0.10276272147893906, 'Active Listening and Openness to Feedback': 0.2696734542647998, 'Goal Clarity and Direction Setting': 0.274480938911438, 'Understanding Mentor Background': 0.0032331685069948435, 'Social Media and Digital Presence': 0.2138326851030191}",,,
Memiliki niat bersungguh-sungguh untuk memulai usaha yang akan dijalani,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.9075976212819418, 'Clarity of Business and Self-Understanding': 0.09595357875029246, 'Practical Preparation and Readiness': 0.07657802167038123, 'Technology and Platform Requirements': 0.048579228265831866, 'Business Information and Supporting Documents': 0.08541260349253814, 'No Preparation Needed': 0.0026389698420340815, 'Time Availability and Commitment': 0.04157229668150345, 'Product Presentation and Portfolio Materials': 0.20371383925278982, 'Contact Details and Communication Channels': 0.4321914315223694, 'Active Listening and Openness to Feedback': 0.4424612522125244, 'Goal Clarity and Direction Setting': 0.6442066629727682, 'Understanding Mentor Background': 0.01281394991868486, 'Social Media and Digital Presence': 0.3255591814716657}",,,
"-Understand the value of your product/ service
-Have a clear personal/business vision
-Have clear expectations from the mentorship relationship.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting', 'Social Media and Digital Presence']",3.0,"{'Mindset and Motivation': 0.2614900909053783, 'Clarity of Business and Self-Understanding': 0.9651954372723898, 'Practical Preparation and Readiness': 0.1571217255356411, 'Technology and Platform Requirements': 0.22600323823280632, 'Business Information and Supporting Documents': 0.422164519627889, 'No Preparation Needed': 0.0004184662199501569, 'Time Availability and Commitment': 0.31534992608552176, 'Product Presentation and Portfolio Materials': 0.5517635295788447, 'Contact Details and Communication Channels': 0.46407177050908405, 'Active Listening and Openness to Feedback': 0.2646239561339219, 'Goal Clarity and Direction Setting': 0.9948125680287679, 'Understanding Mentor Background': 0.001101676665712148, 'Social Media and Digital Presence': 0.6089604012668133}",,,
تحديد نوع الاستشارة,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Mindset and Motivation', 'Social Media and Digital Presence']",3.0,"{'Mindset and Motivation': 0.7055505712827047, 'Clarity of Business and Self-Understanding': 0.3642393449942271, 'Practical Preparation and Readiness': 0.23554451018571854, 'Technology and Platform Requirements': 0.4238692618285616, 'Business Information and Supporting Documents': 0.5504615406195322, 'No Preparation Needed': 0.0027971103166540465, 'Time Availability and Commitment': 0.4578752815723419, 'Product Presentation and Portfolio Materials': 0.5464624216159185, 'Contact Details and Communication Channels': 0.5671374599138895, 'Active Listening and Openness to Feedback': 0.5483728448549906, 'Goal Clarity and Direction Setting': 0.9358858267466227, 'Understanding Mentor Background': 0.3748139540354411, 'Social Media and Digital Presence': 0.6034904619057974}",,,
"Buku catatan, alat tulis, smartphone atau laptop",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Active Listening and Openness to Feedback', 'Technology and Platform Requirements']",3.0,"{'Mindset and Motivation': 0.5697064797083536, 'Clarity of Business and Self-Understanding': 0.3331384261449178, 'Practical Preparation and Readiness': 0.803533931573232, 'Technology and Platform Requirements': 0.6991273562113444, 'Business Information and Supporting Documents': 0.4079357882340749, 'No Preparation Needed': 0.05190458932581047, 'Time Availability and Commitment': 0.5550886442263921, 'Product Presentation and Portfolio Materials': 0.37507398923238117, 'Contact Details and Communication Channels': 0.6570321023464203, 'Active Listening and Openness to Feedback': 0.8235536813735962, 'Goal Clarity and Direction Setting': 0.7312696973482767, 'Understanding Mentor Background': 0.5166541437307993, 'Social Media and Digital Presence': 0.4825863192478816}",,,
الثقة بالنفس,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.9359890222549438, 'Clarity of Business and Self-Understanding': 0.8814972241719564, 'Practical Preparation and Readiness': 0.7266250848770142, 'Technology and Platform Requirements': 0.37123312180240947, 'Business Information and Supporting Documents': 0.579025000333786, 'No Preparation Needed': 0.44677385687828064, 'Time Availability and Commitment': 0.6658281882603964, 'Product Presentation and Portfolio Materials': 0.7049710551897684, 'Contact Details and Communication Channels': 0.8067408204078674, 'Active Listening and Openness to Feedback': 0.8104697465896606, 'Goal Clarity and Direction Setting': 0.9050187269846598, 'Understanding Mentor Background': 0.6423721611499786, 'Social Media and Digital Presence': 0.7489407459894816}",,,
Debe estar abierto a desaprender lo que hasta el momento esté haciendo para aprender lo que necesita.,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Mindset and Motivation', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.6921278834342957, 'Clarity of Business and Self-Understanding': 0.4952707973619302, 'Practical Preparation and Readiness': 0.645997499426206, 'Technology and Platform Requirements': 0.49748218556245166, 'Business Information and Supporting Documents': 0.4918117473522822, 'No Preparation Needed': 0.0013589060496694099, 'Time Availability and Commitment': 0.5220809380213419, 'Product Presentation and Portfolio Materials': 0.4732515464226405, 'Contact Details and Communication Channels': 0.5277042537927628, 'Active Listening and Openness to Feedback': 0.932470699151357, 'Goal Clarity and Direction Setting': 0.4133525068561236, 'Understanding Mentor Background': 0.26602765917778015, 'Social Media and Digital Presence': 0.5036541658143202}",,,
come ready with your dreams and plans.  fail to plan is plan to fail.,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.7502884566783905, 'Clarity of Business and Self-Understanding': 0.1735382378101349, 'Practical Preparation and Readiness': 0.7903704444567362, 'Technology and Platform Requirements': 0.33819935470819473, 'Business Information and Supporting Documents': 0.4462219973405202, 'No Preparation Needed': 9.591936638268332e-05, 'Time Availability and Commitment': 0.14871607224146524, 'Product Presentation and Portfolio Materials': 0.4739975531895955, 'Contact Details and Communication Channels': 0.5952526728312174, 'Active Listening and Openness to Feedback': 0.2098372516532739, 'Goal Clarity and Direction Setting': 0.8845027486483256, 'Understanding Mentor Background': 0.20291848542789617, 'Social Media and Digital Presence': 0.572646697362264}",,,
Niat dan komitmen,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.9509737888971964, 'Clarity of Business and Self-Understanding': 0.3472285370031993, 'Practical Preparation and Readiness': 0.7689637343088785, 'Technology and Platform Requirements': 0.1815933659672737, 'Business Information and Supporting Documents': 0.18825584650039673, 'No Preparation Needed': 0.0009080236971688768, 'Time Availability and Commitment': 0.7045326828956604, 'Product Presentation and Portfolio Materials': 0.4649973213672638, 'Contact Details and Communication Channels': 0.4448716690142949, 'Active Listening and Openness to Feedback': 0.5403259644905726, 'Goal Clarity and Direction Setting': 0.8065574665864309, 'Understanding Mentor Background': 0.539912352959315, 'Social Media and Digital Presence': 0.6007738262414932}",,,
"- Honestidad intelectual respecto de la situación actual del negocio
- Ganas de compartir una experiencia de mutuo aprendizaje",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback']",2.0,"{'Mindset and Motivation': 0.12597019248642027, 'Clarity of Business and Self-Understanding': 0.9546272357304891, 'Practical Preparation and Readiness': 0.02724168294419845, 'Technology and Platform Requirements': 0.07301816468437512, 'Business Information and Supporting Documents': 0.5059415275851885, 'No Preparation Needed': 0.049293936851123966, 'Time Availability and Commitment': 0.10213841559986274, 'Product Presentation and Portfolio Materials': 0.3264373317360878, 'Contact Details and Communication Channels': 0.4296037604411443, 'Active Listening and Openness to Feedback': 0.8640497326850891, 'Goal Clarity and Direction Setting': 0.15527219822009405, 'Understanding Mentor Background': 0.029587813342610996, 'Social Media and Digital Presence': 0.18585682225724062}",,,
"El emprendedor debe de tener 5 características: 
1. Actitud para saber escuchar. 
2. Apertura a nuevos retos. 
3. Contar toda la historia de su empresa. 
4. Tener preguntas bien definidas, así como material que pueda hacer más sencillo el entendimiento. 
5. Ser claro y conciso .",Active Listening and Openness to Feedback,['Active Listening and Openness to Feedback'],1.0,"{'Mindset and Motivation': 0.08130039589013904, 'Clarity of Business and Self-Understanding': 0.3406703819831212, 'Practical Preparation and Readiness': 0.01939152708897988, 'Technology and Platform Requirements': 0.1291317924236258, 'Business Information and Supporting Documents': 0.38263120253880817, 'No Preparation Needed': 0.0001122233661590144, 'Time Availability and Commitment': 0.2792734003936251, 'Product Presentation and Portfolio Materials': 0.25885362674792606, 'Contact Details and Communication Channels': 0.25358786309758824, 'Active Listening and Openness to Feedback': 0.7098440925280253, 'Goal Clarity and Direction Setting': 0.024894287809729576, 'Understanding Mentor Background': 0.01843135618643525, 'Social Media and Digital Presence': 0.2794466018676758}",,,
Deseos reales de aprender y estar dispuesto a realizar los ajustes necesarios para llegar a la meta,Mindset and Motivation,"['Mindset and Motivation', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.9318378567695618, 'Clarity of Business and Self-Understanding': 0.2856839209174116, 'Practical Preparation and Readiness': 0.610002597173055, 'Technology and Platform Requirements': 0.3726131530323376, 'Business Information and Supporting Documents': 0.08508831976602475, 'No Preparation Needed': 0.00013438415286752084, 'Time Availability and Commitment': 0.3607504678269227, 'Product Presentation and Portfolio Materials': 0.3940911466876666, 'Contact Details and Communication Channels': 0.502892792224884, 'Active Listening and Openness to Feedback': 0.7878804604212443, 'Goal Clarity and Direction Setting': 0.8555302222569784, 'Understanding Mentor Background': 0.15143641084432602, 'Social Media and Digital Presence': 0.4533052444458008}",,,
Nada. Iremos juntos en su camino al éxito.,No Preparation Needed,['No Preparation Needed'],1.0,"{'Mindset and Motivation': 0.46350765228271484, 'Clarity of Business and Self-Understanding': 0.08313374997427066, 'Practical Preparation and Readiness': 0.31178061788280803, 'Technology and Platform Requirements': 0.09729992474118869, 'Business Information and Supporting Documents': 0.24372970561186472, 'No Preparation Needed': 0.8949747880299886, 'Time Availability and Commitment': 0.2319696992635727, 'Product Presentation and Portfolio Materials': 0.2546105831861496, 'Contact Details and Communication Channels': 0.33835676312446594, 'Active Listening and Openness to Feedback': 0.27267783135175705, 'Goal Clarity and Direction Setting': 0.3421399345000585, 'Understanding Mentor Background': 0.39103801051775616, 'Social Media and Digital Presence': 0.18048751447349787}",,,
"Debe organizar toda la información relevante de su empresa: brochure de servicios, modelo de negocios y los enlaces de sus redes sociales y/o sitio web para un diagnostico preliminar que ayudará a determinar el estado actual de la presencia digital.",Social Media and Digital Presence,['Social Media and Digital Presence'],1.0,"{'Mindset and Motivation': 0.009418778878170997, 'Clarity of Business and Self-Understanding': 0.21830164268612862, 'Practical Preparation and Readiness': 0.04024249214368562, 'Technology and Platform Requirements': 0.19720592504988113, 'Business Information and Supporting Documents': 0.15881179521481195, 'No Preparation Needed': 0.00012334630931339538, 'Time Availability and Commitment': 0.24198812680939832, 'Product Presentation and Portfolio Materials': 0.019438857678323984, 'Contact Details and Communication Channels': 0.2664275619511803, 'Active Listening and Openness to Feedback': 0.5737056930859884, 'Goal Clarity and Direction Setting': 0.13021805634101233, 'Understanding Mentor Background': 0.04989599383164508, 'Social Media and Digital Presence': 0.7104026178518931}",,,
Prepare the questions or problems they want to solve to start the conversation,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Active Listening and Openness to Feedback']",2.0,"{'Mindset and Motivation': 0.06159976993997892, 'Clarity of Business and Self-Understanding': 0.1325458362698555, 'Practical Preparation and Readiness': 0.9634806513786316, 'Technology and Platform Requirements': 0.2351564116155108, 'Business Information and Supporting Documents': 0.4275481104850769, 'No Preparation Needed': 7.262419967446476e-05, 'Time Availability and Commitment': 0.20587214330832163, 'Product Presentation and Portfolio Materials': 0.22920171481867632, 'Contact Details and Communication Channels': 0.12378288060426712, 'Active Listening and Openness to Feedback': 0.6941535969575247, 'Goal Clarity and Direction Setting': 0.48539070785045624, 'Understanding Mentor Background': 0.030743078639109928, 'Social Media and Digital Presence': 0.37963129580020905}",,,
