text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
"pengetahuan tentang usaha dan komputer, persiapan modal, management keuangan",Technology and Platform Requirements,"['Technology and Platform Requirements', 'Business Information and Supporting Documents']",2.0,"{'Mindset and Motivation': 0.0031157321451852718, 'Clarity of Business and Self-Understanding': 0.5455314988891283, 'Practical Preparation and Readiness': 0.16161953285336494, 'Technology and Platform Requirements': 0.8947995901107788, 'Business Information and Supporting Documents': 0.777859499057134, 'No Preparation Needed': 0.00011083560093538836, 'Time Availability and Commitment': 0.016297776562472183, 'Product Presentation and Portfolio Materials': 0.035320320477088295, 'Contact Details and Communication Channels': 0.07666572059194247, 'Active Listening and Openness to Feedback': 0.5647858679294586, 'Goal Clarity and Direction Setting': 0.14951926904420057, 'Understanding Mentor Background': 0.006933091615792364, 'Social Media and Digital Presence': 0.044533705804497004}",,,
Conocer el giro,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Contact Details and Communication Channels', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.7184846798578898, 'Clarity of Business and Self-Understanding': 0.8991894125938416, 'Practical Preparation and Readiness': 0.7403003772099813, 'Technology and Platform Requirements': 0.6010562231143316, 'Business Information and Supporting Documents': 0.6854573289553324, 'No Preparation Needed': 0.11537484731525183, 'Time Availability and Commitment': 0.6790292064348856, 'Product Presentation and Portfolio Materials': 0.6993887523810068, 'Contact Details and Communication Channels': 0.7995997071266174, 'Active Listening and Openness to Feedback': 0.7350174983342489, 'Goal Clarity and Direction Setting': 0.8080463111400604, 'Understanding Mentor Background': 0.6014638245105743, 'Social Media and Digital Presence': 0.7022434771060944}",,,
Tener la idea base del negocio,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.21083672414533794, 'Clarity of Business and Self-Understanding': 0.7053383986155192, 'Practical Preparation and Readiness': 0.08215395237008731, 'Technology and Platform Requirements': 0.025996068492531776, 'Business Information and Supporting Documents': 0.39785778522491455, 'No Preparation Needed': 0.014708136208355427, 'Time Availability and Commitment': 0.4741334666808446, 'Product Presentation and Portfolio Materials': 0.36231111486752826, 'Contact Details and Communication Channels': 0.47578076521555585, 'Active Listening and Openness to Feedback': 0.7767441868782043, 'Goal Clarity and Direction Setting': 0.669391026099523, 'Understanding Mentor Background': 0.002407624328043312, 'Social Media and Digital Presence': 0.533717737843593}",,,
I use this account for MicroMentor. Please contact me on my personal account if you would like mentoring: https://www.micromentor.org/mentor/1168489.,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Practical Preparation and Readiness', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.5411845246950785, 'Clarity of Business and Self-Understanding': 0.4873696913321813, 'Practical Preparation and Readiness': 0.6582550307114919, 'Technology and Platform Requirements': 0.44432427920401096, 'Business Information and Supporting Documents': 0.4725734740495682, 'No Preparation Needed': 0.42449734701464575, 'Time Availability and Commitment': 0.5682815611362457, 'Product Presentation and Portfolio Materials': 0.4481057673692703, 'Contact Details and Communication Channels': 0.6297812362511953, 'Active Listening and Openness to Feedback': 0.7767207821210226, 'Goal Clarity and Direction Setting': 0.7201444307963053, 'Understanding Mentor Background': 0.38318117956320447, 'Social Media and Digital Presence': 0.48394136875867844}",,,
Tener un listado de los puntos a tratar y contar con toda la información que considere necesaria,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.5257371632615104, 'Clarity of Business and Self-Understanding': 0.4707518269618352, 'Practical Preparation and Readiness': 0.8666455745697021, 'Technology and Platform Requirements': 0.5566089299196998, 'Business Information and Supporting Documents': 0.6231368134419123, 'No Preparation Needed': 0.00012372684674725556, 'Time Availability and Commitment': 0.5338291227817535, 'Product Presentation and Portfolio Materials': 0.5581681554516157, 'Contact Details and Communication Channels': 0.4582678924004237, 'Active Listening and Openness to Feedback': 0.41231074184179306, 'Goal Clarity and Direction Setting': 0.6477420032024384, 'Understanding Mentor Background': 0.00434925911637644, 'Social Media and Digital Presence': 0.509120429555575}",,,
Tener buena predisposición y ser puntual.,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Time Availability and Commitment']",2.0,"{'Mindset and Motivation': 0.5988819301128387, 'Clarity of Business and Self-Understanding': 0.07867210234204929, 'Practical Preparation and Readiness': 0.9022088050842285, 'Technology and Platform Requirements': 0.2462644058590134, 'Business Information and Supporting Documents': 0.33747107287247974, 'No Preparation Needed': 0.00015757873916300014, 'Time Availability and Commitment': 0.8507066766421, 'Product Presentation and Portfolio Materials': 0.45964450140794116, 'Contact Details and Communication Channels': 0.5953594048817953, 'Active Listening and Openness to Feedback': 0.47963044171531993, 'Goal Clarity and Direction Setting': 0.5193544775247574, 'Understanding Mentor Background': 0.40703778465588886, 'Social Media and Digital Presence': 0.3567153165737788}",,,
Have a good idea of what challenges the entrepreneur needs help with and come to the meeting with concrete topics for discussion.,Active Listening and Openness to Feedback,['Active Listening and Openness to Feedback'],1.0,"{'Mindset and Motivation': 0.11646359136405711, 'Clarity of Business and Self-Understanding': 0.3386767605940501, 'Practical Preparation and Readiness': 0.5069510638713837, 'Technology and Platform Requirements': 0.37722274226446945, 'Business Information and Supporting Documents': 0.5867140690485636, 'No Preparation Needed': 0.0006565373041667044, 'Time Availability and Commitment': 0.15499112010002136, 'Product Presentation and Portfolio Materials': 0.3435132789115111, 'Contact Details and Communication Channels': 0.15561636661489806, 'Active Listening and Openness to Feedback': 0.8958613475163778, 'Goal Clarity and Direction Setting': 0.3963107466697693, 'Understanding Mentor Background': 0.0021540891029872, 'Social Media and Digital Presence': 0.24540785575906435}",,,
"1. Clarificar sus objetivos y expectativas
2. Realizar una autoevaluación
3. Preparar una presentación del negocio o idea
4. Recopilar información relevante
5. Definir los desafíos y problemas actuales
6. Estar dispuesto a recibir retroalimentación
7. Definir su disponibilidad y compromiso",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Time Availability and Commitment', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.25614889059215784, 'Clarity of Business and Self-Understanding': 0.9356007774670919, 'Practical Preparation and Readiness': 0.5346086025238037, 'Technology and Platform Requirements': 0.009158527323355278, 'Business Information and Supporting Documents': 0.19679647063215575, 'No Preparation Needed': 7.413454295601696e-05, 'Time Availability and Commitment': 0.7650486528873444, 'Product Presentation and Portfolio Materials': 0.1460288418456912, 'Contact Details and Communication Channels': 0.29367931714902323, 'Active Listening and Openness to Feedback': 0.7320916006962458, 'Goal Clarity and Direction Setting': 0.8235913117726644, 'Understanding Mentor Background': 0.0035791183278585472, 'Social Media and Digital Presence': 0.0947419876853625}",,,
N/a,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'No Preparation Needed']",3.0,"{'Mindset and Motivation': 0.8824203610420227, 'Clarity of Business and Self-Understanding': 0.530316561460495, 'Practical Preparation and Readiness': 0.8030994534492493, 'Technology and Platform Requirements': 0.562008281548818, 'Business Information and Supporting Documents': 0.575729767481486, 'No Preparation Needed': 0.8824284474054972, 'Time Availability and Commitment': 0.7597782611846924, 'Product Presentation and Portfolio Materials': 0.6750718454519907, 'Contact Details and Communication Channels': 0.764380951722463, 'Active Listening and Openness to Feedback': 0.8116805752118429, 'Goal Clarity and Direction Setting': 0.8901189168294271, 'Understanding Mentor Background': 0.8366865913073221, 'Social Media and Digital Presence': 0.5719618424773216}",,,
Debe ser sincero,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.8204282323519388, 'Clarity of Business and Self-Understanding': 0.8263256152470907, 'Practical Preparation and Readiness': 0.6380841135978699, 'Technology and Platform Requirements': 0.48606686666607857, 'Business Information and Supporting Documents': 0.6914306481679281, 'No Preparation Needed': 0.09673589747399092, 'Time Availability and Commitment': 0.7070276141166687, 'Product Presentation and Portfolio Materials': 0.5484419961770376, 'Contact Details and Communication Channels': 0.7537612716356913, 'Active Listening and Openness to Feedback': 0.8930514454841614, 'Goal Clarity and Direction Setting': 0.8739826877911886, 'Understanding Mentor Background': 0.3859272301197052, 'Social Media and Digital Presence': 0.708545595407486}",,,
"Be prepare to learn and try new things.
Be ready to read.
Be free to ask questions.
Have flexible mindset.
Be punctual and polite.
Be ready to take practical assignments.
Be prepared for Self-evaluation.
Be ready to apply assigned tasks.
Be a good learner and dower.",Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Business Information and Supporting Documents']",3.0,"{'Mindset and Motivation': 0.7929553985595703, 'Clarity of Business and Self-Understanding': 0.26836173236370087, 'Practical Preparation and Readiness': 0.9716174602508545, 'Technology and Platform Requirements': 0.5472156554460526, 'Business Information and Supporting Documents': 0.6556762357552847, 'No Preparation Needed': 0.0001558642106829211, 'Time Availability and Commitment': 0.3316511983672778, 'Product Presentation and Portfolio Materials': 0.5931595762570699, 'Contact Details and Communication Channels': 0.6530917584896088, 'Active Listening and Openness to Feedback': 0.510870357354482, 'Goal Clarity and Direction Setting': 0.14291438708702722, 'Understanding Mentor Background': 0.19963786005973816, 'Social Media and Digital Presence': 0.6092131634553274}",,,
لا شئ.. المهم انه يكون، مستعد نفسيا + الاجتهاد,Practical Preparation and Readiness,['Practical Preparation and Readiness'],1.0,"{'Mindset and Motivation': 0.5094086478153864, 'Clarity of Business and Self-Understanding': 0.01539884057516853, 'Practical Preparation and Readiness': 0.7079195181528727, 'Technology and Platform Requirements': 0.0012728359821873407, 'Business Information and Supporting Documents': 0.004718154688210537, 'No Preparation Needed': 0.00022472699978000796, 'Time Availability and Commitment': 0.009609113292147716, 'Product Presentation and Portfolio Materials': 0.01083878225957354, 'Contact Details and Communication Channels': 0.007564970408566296, 'Active Listening and Openness to Feedback': 0.007093675124148528, 'Goal Clarity and Direction Setting': 0.0070611283493538695, 'Understanding Mentor Background': 0.1951626961429914, 'Social Media and Digital Presence': 0.0026548407040536404}",,,
-,,,,{},UNKNOWN,0.0,UNKNOWN
Estar dispuesto a aprender y a aplicar lo aprendido.,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.8643662929534912, 'Clarity of Business and Self-Understanding': 0.30690479030211765, 'Practical Preparation and Readiness': 0.8358874122301737, 'Technology and Platform Requirements': 0.5877273827791214, 'Business Information and Supporting Documents': 0.5119655132293701, 'No Preparation Needed': 0.0017872206129444141, 'Time Availability and Commitment': 0.32922840242584545, 'Product Presentation and Portfolio Materials': 0.5994014491637548, 'Contact Details and Communication Channels': 0.6273031433423361, 'Active Listening and Openness to Feedback': 0.7804830074310303, 'Goal Clarity and Direction Setting': 0.5461160242557526, 'Understanding Mentor Background': 0.4082229534784953, 'Social Media and Digital Presence': 0.7215937972068787}",,,
"Tener un negocio con un servicio premium, de alta calidad y de alto valor adquisitivo, así como ser experto en el área correspondiente del negocio.",Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Active Listening and Openness to Feedback']",2.0,"{'Mindset and Motivation': 0.13731917195642987, 'Clarity of Business and Self-Understanding': 0.45109424615899724, 'Practical Preparation and Readiness': 0.3561410804589589, 'Technology and Platform Requirements': 0.2286586780101061, 'Business Information and Supporting Documents': 0.5340755879878998, 'No Preparation Needed': 0.004721745421799521, 'Time Availability and Commitment': 0.40652241309483844, 'Product Presentation and Portfolio Materials': 0.4532616486152013, 'Contact Details and Communication Channels': 0.5484929035107294, 'Active Listening and Openness to Feedback': 0.6124740292628607, 'Goal Clarity and Direction Setting': 0.7703287402788798, 'Understanding Mentor Background': 0.040872247404574104, 'Social Media and Digital Presence': 0.5271205020447572}",,,
"Entrepreneurs should come prepared with data on current performance metrics, clear business goals, and an understanding of their biggest challenges. This foundation allows us to create impactful, results-oriented strategies.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.11416957636053364, 'Clarity of Business and Self-Understanding': 0.9778473973274231, 'Practical Preparation and Readiness': 0.6189224372307459, 'Technology and Platform Requirements': 0.2246522599210342, 'Business Information and Supporting Documents': 0.8549237052599589, 'No Preparation Needed': 6.386302993632853e-05, 'Time Availability and Commitment': 0.3298389309396346, 'Product Presentation and Portfolio Materials': 0.422613504032294, 'Contact Details and Communication Channels': 0.4892917623122533, 'Active Listening and Openness to Feedback': 0.45401852453748387, 'Goal Clarity and Direction Setting': 0.660689095656077, 'Understanding Mentor Background': 0.0031182609285072735, 'Social Media and Digital Presence': 0.6221890076994896}",,,
An Entrepreneur should have to tell me what should he want to do then I will give him a way to do that.,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.2787834294916441, 'Clarity of Business and Self-Understanding': 0.03784506022930145, 'Practical Preparation and Readiness': 0.12100585084408522, 'Technology and Platform Requirements': 0.20789374007532993, 'Business Information and Supporting Documents': 0.2581460525592168, 'No Preparation Needed': 0.08685989988346894, 'Time Availability and Commitment': 0.464661901195844, 'Product Presentation and Portfolio Materials': 0.45804652757942677, 'Contact Details and Communication Channels': 0.5463552474975586, 'Active Listening and Openness to Feedback': 0.713727593421936, 'Goal Clarity and Direction Setting': 0.6747902582089106, 'Understanding Mentor Background': 0.007218549745933463, 'Social Media and Digital Presence': 0.5758457432190577}",,,
Fresh breath,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'No Preparation Needed']",3.0,"{'Mindset and Motivation': 0.8896589676539103, 'Clarity of Business and Self-Understanding': 0.6261890530586243, 'Practical Preparation and Readiness': 0.7687214612960815, 'Technology and Platform Requirements': 0.6196264723936716, 'Business Information and Supporting Documents': 0.5898021558920542, 'No Preparation Needed': 0.8091443081696829, 'Time Availability and Commitment': 0.6988393465677897, 'Product Presentation and Portfolio Materials': 0.7414941589037577, 'Contact Details and Communication Channels': 0.8378930489222208, 'Active Listening and Openness to Feedback': 0.9212517738342285, 'Goal Clarity and Direction Setting': 0.9091350237528483, 'Understanding Mentor Background': 0.7589126825332642, 'Social Media and Digital Presence': 0.7648940682411194}",,,
Harus siapkan mental,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.928820272286733, 'Clarity of Business and Self-Understanding': 0.7598628004391988, 'Practical Preparation and Readiness': 0.9232961336771647, 'Technology and Platform Requirements': 0.6663507719834646, 'Business Information and Supporting Documents': 0.7218303680419922, 'No Preparation Needed': 8.150023980609451e-05, 'Time Availability and Commitment': 0.7457951505978903, 'Product Presentation and Portfolio Materials': 0.7408236066500345, 'Contact Details and Communication Channels': 0.8528152108192444, 'Active Listening and Openness to Feedback': 0.8707009355227152, 'Goal Clarity and Direction Setting': 0.9025757908821106, 'Understanding Mentor Background': 0.5848826467990875, 'Social Media and Digital Presence': 0.8448612689971924}",,,
Let's talk!,Time Availability and Commitment,"['Time Availability and Commitment', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.7104333539803823, 'Clarity of Business and Self-Understanding': 0.6549689372380575, 'Practical Preparation and Readiness': 0.7170938750108083, 'Technology and Platform Requirements': 0.5798281033833822, 'Business Information and Supporting Documents': 0.6352535486221313, 'No Preparation Needed': 0.5250275606910387, 'Time Availability and Commitment': 0.7582395474116007, 'Product Presentation and Portfolio Materials': 0.6910408834616343, 'Contact Details and Communication Channels': 0.8580504655838013, 'Active Listening and Openness to Feedback': 0.9716996351877848, 'Goal Clarity and Direction Setting': 0.8929790457089742, 'Understanding Mentor Background': 0.5503774682680765, 'Social Media and Digital Presence': 0.7908661365509033}",,,
I want a mentor,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.8697778383890787, 'Clarity of Business and Self-Understanding': 0.6052234967549642, 'Practical Preparation and Readiness': 0.8100977738698324, 'Technology and Platform Requirements': 0.6006545796990395, 'Business Information and Supporting Documents': 0.7484555244445801, 'No Preparation Needed': 0.396550338404874, 'Time Availability and Commitment': 0.8324323097864786, 'Product Presentation and Portfolio Materials': 0.6781380772590637, 'Contact Details and Communication Channels': 0.8554115692774454, 'Active Listening and Openness to Feedback': 0.9122214118639628, 'Goal Clarity and Direction Setting': 0.9658239086469015, 'Understanding Mentor Background': 0.5076465209325155, 'Social Media and Digital Presence': 0.8336208661397299}",,,
I would love to be an entrepreneur for now,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.6569254895051321, 'Clarity of Business and Self-Understanding': 0.5255908171335856, 'Practical Preparation and Readiness': 0.418716236948967, 'Technology and Platform Requirements': 0.35838573922713596, 'Business Information and Supporting Documents': 0.298105592528979, 'No Preparation Needed': 0.29075538118680316, 'Time Availability and Commitment': 0.44599485397338867, 'Product Presentation and Portfolio Materials': 0.5617380241552988, 'Contact Details and Communication Channels': 0.7461035847663879, 'Active Listening and Openness to Feedback': 0.6224788725376129, 'Goal Clarity and Direction Setting': 0.7204094429810842, 'Understanding Mentor Background': 0.08206889304953317, 'Social Media and Digital Presence': 0.6418144553899765}",,,
"Review their commitment, integrity, morals, and passion.",Mindset and Motivation,['Mindset and Motivation'],1.0,"{'Mindset and Motivation': 0.8382243712743124, 'Clarity of Business and Self-Understanding': 0.09595863086481889, 'Practical Preparation and Readiness': 0.060176167326668896, 'Technology and Platform Requirements': 0.0033417219140877328, 'Business Information and Supporting Documents': 0.04593543459971746, 'No Preparation Needed': 0.0004602560560063769, 'Time Availability and Commitment': 0.11310189465681712, 'Product Presentation and Portfolio Materials': 0.07528362423181534, 'Contact Details and Communication Channels': 0.04989682510495186, 'Active Listening and Openness to Feedback': 0.11115544165174167, 'Goal Clarity and Direction Setting': 0.4630362192789714, 'Understanding Mentor Background': 0.551300585269928, 'Social Media and Digital Presence': 0.03253002588947614}",,,
