text,primary_label,all_labels,num_labels,all_raw_scores
الوصف الكامل لمشروعه، الميزانية، الطموح، الحصة السوقية المتوقعة، الموقع,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.05290642882270428, 'Clarity of Business and Self-Understanding': 0.8982243736584982, 'Practical Preparation and Readiness': 0.036902160150930285, 'Technology and Platform Requirements': 0.006062276816616456, 'Business Information and Supporting Documents': 0.8805977702140808, 'No Preparation Needed': 0.00013523979093103358, 'Time Availability and Commitment': 0.050221272433797516, 'Product Presentation and Portfolio Materials': 0.09953005363543828, 'Contact Details and Communication Channels': 0.00296337545538942, 'Active Listening and Openness to Feedback': 0.5750792870918909, 'Goal Clarity and Direction Setting': 0.7195447782675425, 'Understanding Mentor Background': 0.002942349895117028, 'Social Media and Digital Presence': 0.03605592716485262}"
Be able to fully understand their business and market and what the objectives/goals are for the organisation.,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting', 'Business Information and Supporting Documents']",3,"{'Mindset and Motivation': 0.0030986148534187428, 'Clarity of Business and Self-Understanding': 0.9795551697413126, 'Practical Preparation and Readiness': 0.16515261152138314, 'Technology and Platform Requirements': 0.030657069757580757, 'Business Information and Supporting Documents': 0.7181238730748495, 'No Preparation Needed': 0.0020141656568739563, 'Time Availability and Commitment': 0.15543961090346178, 'Product Presentation and Portfolio Materials': 0.2970251614848773, 'Contact Details and Communication Channels': 0.2402618775765101, 'Active Listening and Openness to Feedback': 0.42515017588933307, 'Goal Clarity and Direction Setting': 0.7642490267753601, 'Understanding Mentor Background': 0.001182657026220113, 'Social Media and Digital Presence': 0.2980817835777998}"
Correct Data,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness', 'Business Information and Supporting Documents']",3,"{'Mindset and Motivation': 0.6684978107611338, 'Clarity of Business and Self-Understanding': 0.7725775639216105, 'Practical Preparation and Readiness': 0.8027372161547343, 'Technology and Platform Requirements': 0.7081969579060873, 'Business Information and Supporting Documents': 0.9128746191660563, 'No Preparation Needed': 0.4615014965335528, 'Time Availability and Commitment': 0.6646873652935028, 'Product Presentation and Portfolio Materials': 0.7231370806694031, 'Contact Details and Communication Channels': 0.8191817402839661, 'Active Listening and Openness to Feedback': 0.8061971267064413, 'Goal Clarity and Direction Setting': 0.8748364448547363, 'Understanding Mentor Background': 0.6701698104540507, 'Social Media and Digital Presence': 0.7351840635140737}"
"1. Write down their short-term and long-term goals
2. Find a sense of purpose in starting something
3. Believe in their idea more than anybody else
4. Be proactive and prepared",Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting']",2,"{'Mindset and Motivation': 0.8784927725791931, 'Clarity of Business and Self-Understanding': 0.23066040935615698, 'Practical Preparation and Readiness': 0.5128189101815224, 'Technology and Platform Requirements': 0.03275349371445676, 'Business Information and Supporting Documents': 0.06081288432081541, 'No Preparation Needed': 0.00010071296613508214, 'Time Availability and Commitment': 0.0899935463288178, 'Product Presentation and Portfolio Materials': 0.21626910163710514, 'Contact Details and Communication Channels': 0.20533332787454128, 'Active Listening and Openness to Feedback': 0.020754008864363033, 'Goal Clarity and Direction Setting': 0.8695776263872782, 'Understanding Mentor Background': 0.06657925186057885, 'Social Media and Digital Presence': 0.32038545173903304}"
Disciplinarse y entender que los cambios no se generan de la noche a la mañana.,Mindset and Motivation,"['Mindset and Motivation', 'Time Availability and Commitment', 'Understanding Mentor Background']",3,"{'Mindset and Motivation': 0.872687300046285, 'Clarity of Business and Self-Understanding': 0.22953870426863432, 'Practical Preparation and Readiness': 0.38629547134041786, 'Technology and Platform Requirements': 0.637033075094223, 'Business Information and Supporting Documents': 0.6314235428969065, 'No Preparation Needed': 0.019710410851985216, 'Time Availability and Commitment': 0.8150442043940226, 'Product Presentation and Portfolio Materials': 0.5486683895190557, 'Contact Details and Communication Channels': 0.6456078688303629, 'Active Listening and Openness to Feedback': 0.1255012775460879, 'Goal Clarity and Direction Setting': 0.6536896899342537, 'Understanding Mentor Background': 0.7787254850069681, 'Social Media and Digital Presence': 0.47661664088567096}"
"Set up a meeting 
prepare an agenda
prepare their questions and concern",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.13347397310038409, 'Clarity of Business and Self-Understanding': 0.17297954360644022, 'Practical Preparation and Readiness': 0.9761874675750732, 'Technology and Platform Requirements': 0.40445528117318946, 'Business Information and Supporting Documents': 0.4888139069080353, 'No Preparation Needed': 7.032522504838805e-05, 'Time Availability and Commitment': 0.578352282444636, 'Product Presentation and Portfolio Materials': 0.20293500212331614, 'Contact Details and Communication Channels': 0.3247241973876953, 'Active Listening and Openness to Feedback': 0.6342423955599467, 'Goal Clarity and Direction Setting': 0.6337704956531525, 'Understanding Mentor Background': 0.09853298372278611, 'Social Media and Digital Presence': 0.4236341267824173}"
Determination is everything.,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting', 'Time Availability and Commitment']",3,"{'Mindset and Motivation': 0.8822457989056905, 'Clarity of Business and Self-Understanding': 0.2751163492600123, 'Practical Preparation and Readiness': 0.4530934691429138, 'Technology and Platform Requirements': 0.20716906680415073, 'Business Information and Supporting Documents': 0.14583474397659302, 'No Preparation Needed': 0.0023277090319121876, 'Time Availability and Commitment': 0.608909954627355, 'Product Presentation and Portfolio Materials': 0.19825165470441183, 'Contact Details and Communication Channels': 0.3723868230978648, 'Active Listening and Openness to Feedback': 0.06028658749225239, 'Goal Clarity and Direction Setting': 0.9080733259518942, 'Understanding Mentor Background': 0.026038477507730324, 'Social Media and Digital Presence': 0.594062328338623}"
Prepare to listen and hear the truth that takes you to your next phase in life.,Mindset and Motivation,"['Mindset and Motivation', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.8063116470972697, 'Clarity of Business and Self-Understanding': 0.47547122836112976, 'Practical Preparation and Readiness': 0.5593987554311752, 'Technology and Platform Requirements': 0.3703538205785056, 'Business Information and Supporting Documents': 0.30789919197559357, 'No Preparation Needed': 0.11054006468718096, 'Time Availability and Commitment': 0.38664185628294945, 'Product Presentation and Portfolio Materials': 0.31571527135868865, 'Contact Details and Communication Channels': 0.4934984048207601, 'Active Listening and Openness to Feedback': 0.8740856846173605, 'Goal Clarity and Direction Setting': 0.8515594204266866, 'Understanding Mentor Background': 0.08105161568770806, 'Social Media and Digital Presence': 0.5661712735891342}"
A strong coffee and a good internet connexion !,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Understanding Mentor Background']",2,"{'Mindset and Motivation': 0.44711674253145856, 'Clarity of Business and Self-Understanding': 0.17274701843659082, 'Practical Preparation and Readiness': 0.5410155852635702, 'Technology and Platform Requirements': 0.1774475115040938, 'Business Information and Supporting Documents': 0.19533267617225647, 'No Preparation Needed': 0.12990488267193237, 'Time Availability and Commitment': 0.4521489590406418, 'Product Presentation and Portfolio Materials': 0.49651692310969037, 'Contact Details and Communication Channels': 0.5136866867542267, 'Active Listening and Openness to Feedback': 0.48303565631310147, 'Goal Clarity and Direction Setting': 0.7106929620107015, 'Understanding Mentor Background': 0.6594889163970947, 'Social Media and Digital Presence': 0.2967674235502879}"
"Data validitas wirausaha
List problem usaha
Target pemecahan problem yg diinginkan",Business Information and Supporting Documents,"['Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",2,"{'Mindset and Motivation': 0.15229752659797668, 'Clarity of Business and Self-Understanding': 0.4713161786397298, 'Practical Preparation and Readiness': 0.3218727906545003, 'Technology and Platform Requirements': 0.01402917659531037, 'Business Information and Supporting Documents': 0.8817089994748434, 'No Preparation Needed': 0.0006642302178079262, 'Time Availability and Commitment': 0.01602766301948577, 'Product Presentation and Portfolio Materials': 0.23896759624282518, 'Contact Details and Communication Channels': 0.047929348424077034, 'Active Listening and Openness to Feedback': 0.29436565687259036, 'Goal Clarity and Direction Setting': 0.6578901012738546, 'Understanding Mentor Background': 0.029620667318037402, 'Social Media and Digital Presence': 0.1779735212524732}"
"Sudah memiliki usaha
atau sudah memiliki ide usaha untuk dikembangkan",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Contact Details and Communication Channels', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.4069574773311615, 'Clarity of Business and Self-Understanding': 0.177866759399573, 'Practical Preparation and Readiness': 0.1413971601674954, 'Technology and Platform Requirements': 0.1678205089022716, 'Business Information and Supporting Documents': 0.24121584743261337, 'No Preparation Needed': 0.15238619595766068, 'Time Availability and Commitment': 0.2969391147295634, 'Product Presentation and Portfolio Materials': 0.33912139634291333, 'Contact Details and Communication Channels': 0.6564789613087972, 'Active Listening and Openness to Feedback': 0.7673142353693644, 'Goal Clarity and Direction Setting': 0.6455926696459452, 'Understanding Mentor Background': 0.06728389017128696, 'Social Media and Digital Presence': 0.6368982195854187}"
Definir su situación actual basadas en información financiera real,UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.0020501877491672835, 'Clarity of Business and Self-Understanding': 0.32814128138124943, 'Practical Preparation and Readiness': 0.08979173749685287, 'Technology and Platform Requirements': 0.013075063393140832, 'Business Information and Supporting Documents': 0.539826593051354, 'No Preparation Needed': 0.0021419150677199164, 'Time Availability and Commitment': 0.02966492312649886, 'Product Presentation and Portfolio Materials': 0.039768440648913383, 'Contact Details and Communication Channels': 0.03189403346429268, 'Active Listening and Openness to Feedback': 0.11413755640387535, 'Goal Clarity and Direction Setting': 0.04004630291213592, 'Understanding Mentor Background': 0.007604750028500955, 'Social Media and Digital Presence': 0.014809615599612394}"
"Debe tener a su disposición herramientas para la óptima comunicación entre ambas partes. Como por ejemplo saber utilizar todo lo referente a Google y sus herramientas de espacio de trabajo, llámese Drive, Meet, Jamboard, Calendar, etc.
Debe tener claro sus objetivos y metas.
Debe ser competente, responsable y proactivo.",Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Contact Details and Communication Channels']",2,"{'Mindset and Motivation': 0.11963359429500997, 'Clarity of Business and Self-Understanding': 0.14477804178992906, 'Practical Preparation and Readiness': 0.5046006788810095, 'Technology and Platform Requirements': 0.451127365231514, 'Business Information and Supporting Documents': 0.3191219170888265, 'No Preparation Needed': 0.0003166547151825701, 'Time Availability and Commitment': 0.39118703951438266, 'Product Presentation and Portfolio Materials': 0.3071141168475151, 'Contact Details and Communication Channels': 0.6086462686459223, 'Active Listening and Openness to Feedback': 0.34134802718957263, 'Goal Clarity and Direction Setting': 0.9216196735699972, 'Understanding Mentor Background': 0.12344959750771523, 'Social Media and Digital Presence': 0.1752311276892821}"
Take an inventory/make a map of their current customer journey.,UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.05689977233608564, 'Clarity of Business and Self-Understanding': 0.1660482461253802, 'Practical Preparation and Readiness': 0.16580101226766905, 'Technology and Platform Requirements': 0.04113605618476868, 'Business Information and Supporting Documents': 0.3399123524626096, 'No Preparation Needed': 0.0014820656506344676, 'Time Availability and Commitment': 0.07150218977282445, 'Product Presentation and Portfolio Materials': 0.14699876556793848, 'Contact Details and Communication Channels': 0.11655243982871373, 'Active Listening and Openness to Feedback': 0.48813529809316, 'Goal Clarity and Direction Setting': 0.09355650593837102, 'Understanding Mentor Background': 0.10094095394015312, 'Social Media and Digital Presence': 0.20048767824967703}"
"Everything and nothing, just the right mindset to start",Mindset and Motivation,"['Mindset and Motivation', 'No Preparation Needed']",2,"{'Mindset and Motivation': 0.7651517987251282, 'Clarity of Business and Self-Understanding': 0.0056418712095667916, 'Practical Preparation and Readiness': 0.018841677422945697, 'Technology and Platform Requirements': 0.017879297956824303, 'Business Information and Supporting Documents': 0.01813868375029415, 'No Preparation Needed': 0.9354139566421509, 'Time Availability and Commitment': 0.017219734378159046, 'Product Presentation and Portfolio Materials': 0.03978291720462342, 'Contact Details and Communication Channels': 0.12641234106073776, 'Active Listening and Openness to Feedback': 0.1664727342625459, 'Goal Clarity and Direction Setting': 0.011392622254788876, 'Understanding Mentor Background': 0.2745993534723918, 'Social Media and Digital Presence': 0.08583228390974303}"
"Deskripsikan usaha dengan jelas
Jelaskan capaian yg telah diperoleh
Jelaskan target yang ingin d capai 
Catat kendala-kendala",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.007318624508722375, 'Clarity of Business and Self-Understanding': 0.7227152287960052, 'Practical Preparation and Readiness': 0.052183188342799745, 'Technology and Platform Requirements': 0.005747541591214637, 'Business Information and Supporting Documents': 0.6329038391510645, 'No Preparation Needed': 0.0002016355429077521, 'Time Availability and Commitment': 0.019158053134257596, 'Product Presentation and Portfolio Materials': 0.15701435257991156, 'Contact Details and Communication Channels': 0.015972365469982226, 'Active Listening and Openness to Feedback': 0.3678244985640049, 'Goal Clarity and Direction Setting': 0.6816582282384237, 'Understanding Mentor Background': 0.0015578719588423458, 'Social Media and Digital Presence': 0.0726307292158405}"
"Rekan wirausaha harus menyadari bahwa mentor bukan seorang yang paham semua masalah yang dihadapi wirausaha, untuk itu sebelumnya rekan wirausaha sebaiknya menyiapkan  secara singkat untuk menjelaskan :
1. Profile usaha yang dijalani
2. Kendala yang dihadapi 
3. Harapan yang ingin dicapai",UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.003160945838317275, 'Clarity of Business and Self-Understanding': 0.5297456582387289, 'Practical Preparation and Readiness': 0.39565254577125114, 'Technology and Platform Requirements': 0.003806637580661724, 'Business Information and Supporting Documents': 0.048810760180155434, 'No Preparation Needed': 7.569205869610111e-05, 'Time Availability and Commitment': 0.006972998691101869, 'Product Presentation and Portfolio Materials': 0.019363989898314077, 'Contact Details and Communication Channels': 0.006923690748711427, 'Active Listening and Openness to Feedback': 0.38719869901736576, 'Goal Clarity and Direction Setting': 0.4660272002220154, 'Understanding Mentor Background': 0.25369634362868965, 'Social Media and Digital Presence': 0.02731144924958547}"
They need to understand their problem area very well. They also need to know themselves well.,Clarity of Business and Self-Understanding,['Clarity of Business and Self-Understanding'],1,"{'Mindset and Motivation': 0.06892362190410495, 'Clarity of Business and Self-Understanding': 0.8406960964202881, 'Practical Preparation and Readiness': 0.3842938244342804, 'Technology and Platform Requirements': 0.14389705269907913, 'Business Information and Supporting Documents': 0.12324344366788864, 'No Preparation Needed': 0.00015344621109155318, 'Time Availability and Commitment': 0.08450701273977757, 'Product Presentation and Portfolio Materials': 0.17631128802895546, 'Contact Details and Communication Channels': 0.12265700784822305, 'Active Listening and Openness to Feedback': 0.045142607452968754, 'Goal Clarity and Direction Setting': 0.19537708908319473, 'Understanding Mentor Background': 0.0009010340242336193, 'Social Media and Digital Presence': 0.1429006081695358}"
Tener un objetivo claro donde sepa qué quiere para el y juntos encontraremos la manera de conquistarlo.,Goal Clarity and Direction Setting,['Goal Clarity and Direction Setting'],1,"{'Mindset and Motivation': 0.5271395047505697, 'Clarity of Business and Self-Understanding': 0.42061814169089, 'Practical Preparation and Readiness': 0.09486466754848759, 'Technology and Platform Requirements': 0.15918566286563873, 'Business Information and Supporting Documents': 0.4256576399008433, 'No Preparation Needed': 0.03338387069137146, 'Time Availability and Commitment': 0.27216416131705046, 'Product Presentation and Portfolio Materials': 0.35801635185877484, 'Contact Details and Communication Channels': 0.15830677251021066, 'Active Listening and Openness to Feedback': 0.17085490251580873, 'Goal Clarity and Direction Setting': 0.9758121172587076, 'Understanding Mentor Background': 0.009523652804394564, 'Social Media and Digital Presence': 0.3309500701725483}"
"Contar sobre su negocio,  que metas tiene, que  objetivos busca y contarnos la verdad.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting', 'Business Information and Supporting Documents']",3,"{'Mindset and Motivation': 0.5429025781243885, 'Clarity of Business and Self-Understanding': 0.998167077700297, 'Practical Preparation and Readiness': 0.055959584191441536, 'Technology and Platform Requirements': 0.0010005917962795745, 'Business Information and Supporting Documents': 0.7405459384123484, 'No Preparation Needed': 0.00014358032785821706, 'Time Availability and Commitment': 0.008069559621314207, 'Product Presentation and Portfolio Materials': 0.01944086980074644, 'Contact Details and Communication Channels': 0.015294587550063929, 'Active Listening and Openness to Feedback': 0.6615132888158163, 'Goal Clarity and Direction Setting': 0.8481353123982748, 'Understanding Mentor Background': 0.0012298967970612769, 'Social Media and Digital Presence': 0.007942908753951391}"
"Tener claridad sobre su modelo de negocio. 
Saber a dónde quiere llegar y cómo se visualiza a futuro.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",2,"{'Mindset and Motivation': 0.16969948029145598, 'Clarity of Business and Self-Understanding': 0.9507808287938436, 'Practical Preparation and Readiness': 0.23652875314777097, 'Technology and Platform Requirements': 0.014130012908329567, 'Business Information and Supporting Documents': 0.374047448237737, 'No Preparation Needed': 0.001025041220903707, 'Time Availability and Commitment': 0.1416706827779611, 'Product Presentation and Portfolio Materials': 0.19266151636838913, 'Contact Details and Communication Channels': 0.2884071245789528, 'Active Listening and Openness to Feedback': 0.06572844522694747, 'Goal Clarity and Direction Setting': 0.9522018631299337, 'Understanding Mentor Background': 0.0030358654864054793, 'Social Media and Digital Presence': 0.09787862437466781}"
انه يفكر جيد ولا يتردد وياخد القرار السليم,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting', 'Practical Preparation and Readiness']",3,"{'Mindset and Motivation': 0.8420131603876749, 'Clarity of Business and Self-Understanding': 0.5981009503205618, 'Practical Preparation and Readiness': 0.6521174609661102, 'Technology and Platform Requirements': 0.3862977499763171, 'Business Information and Supporting Documents': 0.5060820082823435, 'No Preparation Needed': 0.3753339424729347, 'Time Availability and Commitment': 0.43177206069231033, 'Product Presentation and Portfolio Materials': 0.5771089196205139, 'Contact Details and Communication Channels': 0.618881364663442, 'Active Listening and Openness to Feedback': 0.5990023165941238, 'Goal Clarity and Direction Setting': 0.7718072533607483, 'Understanding Mentor Background': 0.427237590154012, 'Social Media and Digital Presence': 0.45498477419217426}"
